brand_name,handle_or_page,instagram_url,tiktok_url,website_url,dm_url,niche,market,notes,fit_score,fit_reason,status,first_seen,last_seen,source_urls
Bianquis,@bianquis,,https://www.tiktok.com/@whoisbianquis,,https://www.tiktok.com/@whoisbianquis,تجارة إلكترونية / محتوى,AR,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
Jill,@Jill,,https://www.tiktok.com/@jillxoreads,https://www.amazon.com/hz/wishlist/dl/invite/jgJAc4n?ref_=wl_share,https://www.tiktok.com/@jillxoreads,تجارة إلكترونية / محتوى,US,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
Henni💋,@Henni💋,,https://www.tiktok.com/@army7_stay8,,https://www.tiktok.com/@army7_stay8,تجارة إلكترونية / محتوى,DK,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
Kazinazefatasneemzarin,@kazinazefatasneemzarin,,https://www.tiktok.com/@kazinazefatasneemzarin,,https://www.tiktok.com/@kazinazefatasneemzarin,تجارة إلكترونية / محتوى,BD,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
Olgzppln,@olgzppln,,https://www.tiktok.com/@olgzppln,,https://www.tiktok.com/@olgzppln,تجارة إلكترونية / محتوى,ES,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
Super Busy 💖💖💖💖💞💞🙏😭🤲?,@super busy 💖💖💖💖💞💞🙏😭🤲?,,https://www.tiktok.com/@okuujrhhdh,,https://www.tiktok.com/@okuujrhhdh,تجارة إلكترونية / محتوى,KW,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
Juanita,@Juanita,,https://www.tiktok.com/@buzymamaz,,https://www.tiktok.com/@buzymamaz,تجارة إلكترونية / محتوى,US,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
Nahuel,@Nahuel,,https://www.tiktok.com/@nahuelssjgris,,https://www.tiktok.com/@nahuelssjgris,تجارة إلكترونية / محتوى,AR,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
Mary Lopez,@mary lopez,,https://www.tiktok.com/@mary_zaval12090_official,,https://www.tiktok.com/@mary_zaval12090_official,تجارة إلكترونية / محتوى,PE,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
Mario Perez,@Mario Perez,,https://www.tiktok.com/@mario.r35,https://youtu.be/Ki8cWB172lc,https://www.tiktok.com/@mario.r35,تجارة إلكترونية / محتوى,US,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
Sara Sweety43,@Sara Sweety43,,https://www.tiktok.com/@useri593lsk,,https://www.tiktok.com/@useri593lsk,تجارة إلكترونية / محتوى,IN,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
